STATURE,BMI,MASS,ACROMION_HT
1735,29.9,90,1414
1830,26.3,88.2,1543
1726,24.4,72.7,1405
1783,26.2,83.2,1463
1669,27.7,77,1376
1758,19.8,61.1,1480
1788,26.8,85.7,1455
1829,25.1,84,1513
1745,27.7,84.4,1435
1643,31.6,85.4,1373
1698,29.4,84.7,1418
1727,30.9,92.2,1428
1734,26.6,80.1,1416
1684,27,76.5,1399
1667,25.4,70.5,1343
1680,28.5,80.5,1367
1785,27,85.9,1470
1885,24.1,85.5,1565
1841,23.1,78.4,1526
1702,30,86.8,1388
1738,33,99.8,1414
1732,23.6,70.7,1421
1739,24,72.6,1430
1877,22.5,79.2,1540
1725,26.8,79.7,1439
1704,26.5,77.1,1417
1748,28.2,86,1441
1647,27.1,73.4,1341
1699,21.4,61.8,1389
1761,27.3,84.6,1438
1671,27.1,75.8,1368
1644,29.8,80.6,1330
1739,27.5,83.2,1434
1749,22.8,69.7,1416
1845,30.3,103.2,1537
1954,27.2,103.8,1616
1844,23.3,79.3,1528
1601,23.3,59.6,1289
1846,24.9,85,1495
1672,26.5,74.1,1351
1934,28.7,107.3,1623
1862,23.9,82.8,1531
1694,23.4,67.3,1394
1740,28.3,85.6,1430
1739,31.3,94.6,1417
1719,28.4,83.9,1421
1722,25.1,74.4,1431
1776,28,88.4,1476
1897,30.5,109.7,1559
1730,26.7,79.9,1417
1688,29.6,84.3,1360
1692,31.4,90,1364
1778,28.4,89.9,1475
1824,23.7,78.9,1494
1744,24.3,74,1441
1763,28.5,88.5,1480
1859,27,93.4,1545
1669,32.9,91.6,1400
1705,23.3,67.7,1379
1755,24.2,74.4,1438
1756,29.3,90.2,1457
1866,25.2,87.7,1514
1837,29.8,100.4,1516
1758,27.6,85.3,1444
1837,26.1,88.1,1518
1835,20.4,68.7,1498
1756,29.9,92,1425
1887,26.3,93.8,1547
1817,28.5,94.2,1505
1720,24.5,72.5,1442
1836,27.6,92.9,1503
1617,25.6,66.9,1333
1670,20.6,57.6,1363
1796,24.5,78.9,1495
1629,27.7,73.5,1325
1731,22.6,67.7,1433
1718,27.4,80.8,1431
1849,23.9,81.5,1499
1850,26.1,89.3,1530
1696,29.1,83.6,1417
1858,19.1,65.8,1498
1795,25.9,83.6,1473
1851,28.7,98.4,1534
1763,32.9,102.1,1454
1809,27.8,90.9,1497
1735,29.7,89.5,1425
1778,24.7,78.2,1467
1708,27.4,79.9,1405
1818,26.7,88.4,1495
1888,27.4,97.6,1547
1872,30.2,105.7,1548
1713,28.2,82.7,1402
1747,21.3,65.1,1418
1726,23,68.5,1399
1774,24.4,76.9,1448
1718,28.6,84.5,1399
1740,32.2,97.5,1439
1755,27,83.1,1443
1732,24.4,73.1,1475
1685,23.7,67.2,1386
1764,23.4,72.9,1458
1711,37.2,109,1422
1766,24.5,76.4,1441
