STATURE,BMI,MASS,HEAD_CIRC
1735,29.9,90.0,572
1830,26.3,88.2,590
1726,24.4,72.7,572
1783,26.2,83.2,593
1669,27.7,77.0,546
1758,19.8,61.1,557
1788,26.8,85.7,601
1829,25.1,84.0,543
1745,27.7,84.4,566
1643,31.6,85.4,569
1698,29.4,84.7,578
1727,30.9,92.2,564
1734,26.6,80.1,556
1684,27.0,76.5,565
1667,25.4,70.5,543
1680,28.5,80.5,561
1785,27.0,85.9,556
1885,24.1,85.5,577
1841,23.1,78.4,568
1702,30.0,86.8,578
1738,33.0,99.8,572
1732,23.6,70.7,572
1739,24.0,72.6,561
1877,22.5,79.2,555
1725,26.8,79.7,581
1704,26.5,77.1,566
1748,28.2,86.0,565
1647,27.1,73.4,580
1699,21.4,61.8,564
1761,27.3,84.6,572
1671,27.1,75.8,595
1644,29.8,80.6,549
1739,27.5,83.2,573
1749,22.8,69.7,575
1845,30.3,103.2,585
1954,27.2,103.8,602
1844,23.3,79.3,582
1601,23.3,59.6,573
1846,24.9,85.0,570
1672,26.5,74.1,557
1934,28.7,107.3,607
1862,23.9,82.8,569
1694,23.4,67.3,564
1740,28.3,85.6,581
1739,31.3,94.6,584
1719,28.4,83.9,598
1722,25.1,74.4,574
1776,28.0,88.4,557
1897,30.5,109.7,603
1730,26.7,79.9,578
1688,29.6,84.3,548
1692,31.4,90.0,590
1778,28.4,89.9,563
1824,23.7,78.9,579
1744,24.3,74.0,560
1763,28.5,88.5,577
1859,27.0,93.4,559
1669,32.9,91.6,567
1705,23.3,67.7,570
1755,24.2,74.4,587
1756,29.3,90.2,567
1866,25.2,87.7,560
1837,29.8,100.4,570
1758,27.6,85.3,574
1837,26.1,88.1,574
1835,20.4,68.7,543
1756,29.9,92.0,588
1887,26.3,93.8,579
1817,28.5,94.2,594
1720,24.5,72.5,555
1836,27.6,92.9,565
1617,25.6,66.9,548
1670,20.6,57.6,552
1796,24.5,78.9,559
1629,27.7,73.5,589
1731,22.6,67.7,542
1718,27.4,80.8,566
1849,23.9,81.5,541
1850,26.1,89.3,563
1696,29.1,83.6,560
1858,19.1,65.8,560
1795,25.9,83.6,557
1851,28.7,98.4,593
1763,32.9,102.1,587
1809,27.8,90.9,581
1735,29.7,89.5,563
1778,24.7,78.2,578
1708,27.4,79.9,561
1818,26.7,88.4,577
1888,27.4,97.6,597
1872,30.2,105.7,588
1713,28.2,82.7,581
1747,21.3,65.1,572
1726,23.0,68.5,551
1774,24.4,76.9,551
1718,28.6,84.5,586
1740,32.2,97.5,602
1755,27.0,83.1,605
1732,24.4,73.1,550
1685,23.7,67.2,558
1764,23.4,72.9,558
1711,37.2,109.0,558
1766,24.5,76.4,563
1672,26.4,73.7,554
1710,31.2,91.3,594
1726,30.9,92.0,569
1825,20.9,69.5,562
1789,29.5,94.4,597
1661,27.3,75.3,573
1735,26.8,80.7,574
1878,24.4,86.0,593
1740,25.1,76.1,571
1738,25.0,75.4,584
1837,26.8,90.4,583
1743,28.1,85.2,586
1869,24.6,85.8,556
1833,24.6,82.6,581
1644,27.0,73.1,555
1771,26.4,82.7,588
1778,29.9,94.5,586
1907,24.2,88.0,571
1806,20.4,66.4,551
1913,24.7,90.5,567
1879,21.6,76.3,579
1825,24.5,81.5,570
1690,22.5,64.2,557
1789,28.3,90.6,563
1799,22.4,72.5,550
1795,26.4,85.2,583
1741,28.3,85.8,579
1775,24.7,77.8,593
1724,23.8,70.9,571
1671,27.2,75.8,574
1785,26.0,83.0,555
1795,22.8,73.4,558
1741,21.6,65.4,572
1696,24.4,70.1,550
1790,28.1,90.2,573
1761,26.7,82.9,558
1614,21.3,55.6,535
1860,30.1,104.2,571
1726,22.8,67.8,537
1774,23.2,73.0,554
1763,23.6,73.4,592
1815,26.8,88.4,573
1728,29.1,87.0,591
1703,27.1,78.6,583
1770,28.7,89.8,596
1704,27.7,80.3,577
1757,27.4,84.6,592
1750,27.3,83.5,561
1798,21.4,69.1,554
