STATURE,EYE_HT_SITTING
1666,771
1528,732
1567,730
1836,832
1546,719
1524,696
1836,781
1626,742
1549,703
1632,761
1662,733
1621,729
1648,753
1633,738
1646,761
1727,793
1636,769
1626,734
1568,735
1617,714
1553,696
1535,715
1654,747
1656,762
1518,703
1642,753
1682,777
1700,764
1517,707
1645,716
1683,752
1663,745
1681,759
1541,734
1627,732
1655,758
1620,750
1505,692
1795,804
1808,797
1656,750
1657,756
1596,711
1548,715
1600,732
1675,739
1620,713
1595,707
1615,755
1623,748
1649,769
1706,718
1610,700
1599,708
1746,796
1612,684
1599,735
1650,755
1658,763
1557,715
1615,715
1633,714
1590,680
1583,709
1578,706
1590,750
1595,717
1543,640
1569,700
1450,666
1723,795
1732,747
1647,764
1502,658
1668,713
1524,663
1633,666
1615,696
1599,738
1609,708
1753,795
1673,777
1720,773
1553,670
1595,733
1690,762
1500,698
1656,721
1652,730
1648,748
1703,713
1613,691
1629,744
1608,732
1649,763
1712,773
1686,810
1635,755
1599,718
1691,722
1588,720
1645,746
1717,817
1633,722
1586,725
1747,786
1617,714
1548,692
1657,731
1653,759
1654,743
1500,705
1603,734
1529,698
1669,707
1770,819
1625,753
1596,759
1492,704
1695,767
1667,762
1580,703
1624,702
1562,702
1534,670
1627,724
1542,705
1582,734
1514,655
1608,732
1667,756
1601,709
1534,722
1636,755
1585,770
1557,658
1663,781
1578,731
1675,748
1637,742
1568,725
1551,676
1485,677
1652,748
1695,765
1533,707
1547,665
1555,698
1787,806
1560,685
1631,783
1610,718
1597,749
1652,741
1606,749
1518,677
1589,715
1501,678
1579,677
1602,733
1592,715
1785,776
1616,729
1550,723
1560,721
1611,697
1620,742
1624,717
1623,749
1575,695
1704,762
1730,751
1559,666
1693,754
1577,739
1684,766
1738,795
1819,804
1657,753
1634,751
1695,730
1577,710
1676,772
1647,726
1610,720
1726,763
1640,742
1558,724
1591,728
1687,737
1608,722
1617,746
1614,698
1691,780
1665,764
1805,804
1676,780
1781,819
1507,652
1644,750
1620,711
1693,767
1558,685
1783,806
1609,728
1649,787
1628,750
1597,728
1640,766
1660,739
1597,715
1569,705
1667,768
1564,717
1535,706
1630,741
1650,765
1578,708
1620,744
1720,793
1651,773
1521,703
1639,775
1660,770
1567,765
1584,690
1538,688
1628,751
1572,694
1560,722
1722,769
1624,768
1695,768
1590,706
1633,755
1605,733
1624,772
1578,727
1708,732
1579,706
1469,675
1544,737
1707,762
1591,714
1715,735
1755,772
1637,744
1620,701
1664,757
1595,733
1702,739
1593,724
1691,759
1635,719
1677,761
1618,734
1595,725
1635,717
1596,726
1694,781
1680,736
1587,736
1741,780
1657,807
1560,709
1591,699
1601,795
1635,759
1671,760
1566,675
1703,762
1562,710
1632,757
1600,692
1603,775
1652,758
1728,745
1631,745
1606,721
1741,756
1665,754
1578,672
1688,758
1684,749
1640,744
1602,704
1552,677
1493,650
1597,701
1580,730
1764,742
1598,747
1711,758
1647,713
1541,681
1547,708
1719,791
1544,744
1574,685
1654,691
1575,731
1566,755
1521,654
1722,766
1658,721
1487,706
1576,693
1746,794
1588,738
1647,740
1578,710
1690,741
1658,771
1530,645
1575,725
1714,790
1625,747
1599,753
1697,762
1772,807
1563,706
1454,678
1671,711
1702,754
1675,784
1661,737
1578,750
1683,760
1608,737
1625,757
1737,806
1769,825
1686,768
1590,704
1540,707
1662,715
1624,747
1702,773
1626,722
1705,777
1629,771
1680,750
1610,707
1622,739
1640,765
1592,725
1641,758
1639,742
1611,708
1568,684
1606,700
1662,740
1592,726
1599,701
1681,746
1518,658
1706,734
1788,826
1594,710
1580,720
1738,801
1541,708
1667,734
1576,701
1595,743
1685,735
1502,701
1670,772
1705,702
1486,672
1710,737
1566,741
1522,677
1653,765
1731,773
1630,775
1591,713
1572,713
1570,735
1590,691
1577,674
1558,699
1544,677
1565,715
1584,700
1738,757
1630,722
1541,698
1663,736
1591,710
1599,740
1685,790
1603,733
1545,670
1582,708
1656,739
1606,729
1592,766
1708,743
1592,674
1752,766
1653,706
1641,690
1540,708
1518,701
1629,712
1730,749
1576,705
1660,767
1663,751
1619,761
1600,737
1640,764
1578,729
1752,840
1603,751
1713,779
1660,763
1632,727
1565,722
1628,733
1726,840
1610,712
1584,715
1606,731
1628,710
1571,678
1691,778
1609,729
1680,792
1626,704
1532,705
1649,713
1662,774
1638,734
1624,729
1665,805
1696,754
1566,705
1578,690
1673,759
1628,755
1525,711
1632,687
1717,739
1659,755
1703,754
1626,718
1680,726
1626,729
1598,742
1679,728
1673,773
1589,700
1608,728
1607,741
1597,739
1724,788
1623,723
1580,712
1544,688
1786,802
1563,698
1637,753
1699,760
1648,735
1682,776
1611,724
1650,758
1667,779
1578,713
1573,721
1744,778
1648,718
1603,725
1643,729
1602,698
1655,770
1666,752
1621,752
1628,730
1643,732
1524,712
1647,740
1646,737
1613,713
1638,769
1601,741
1597,718
1583,708
1695,740
1561,730
1583,692
1629,739
1588,705
1515,695
1632,698
1542,685
1647,741
1443,652
1576,726
1670,745
1647,687
1680,783
1705,792
1596,715
1652,750
1628,740
1633,758
1573,730
1545,710
1735,765
1662,768
1637,761
1664,760
1639,753
1667,780
1682,772
1612,720
1647,775
1685,761
1617,736
1682,750
1659,757
1664,806
1774,819
1537,670
1551,668
1553,692
1618,738
1608,731
1588,701
1670,730
1708,736
1660,733
1630,775
1637,734
1602,786
1665,738
1678,776
1534,708
1655,747
1738,777
1634,744
1685,784
1603,708
1516,709
1653,716
1706,736
1687,756
1590,739
1717,734
1643,774
1655,752
1656,765
1637,765
1696,763
1634,735
1634,737
1657,759
1741,753
1731,761
1654,788
1583,721
1620,719
1593,730
1653,764
1735,806
1582,690
1555,737
1685,721
1672,752
1710,773
1572,757
1680,742
1705,747
1644,728
1658,765
1639,727
1593,727
1615,731
1673,731
1747,803
1719,756
1552,700
1609,732
1589,720
1593,724
1735,795
1603,723
1607,713
1593,714
1575,721
1633,747
1628,733
1637,740
1689,771
1614,692
1690,739
1692,755
1628,731
1537,708
1695,761
1607,738
1646,779
1636,730
1636,726
1670,719
1567,688
1562,707
1717,797
1594,697
1492,683
1604,710
1708,773
1582,721
1545,733
1545,682
1667,744
1587,702
1566,729
1593,702
1594,720
1705,772
1607,716
1570,731
1713,787
1523,704
1640,768
1610,731
1634,741
1635,767
1617,707
1651,689
1638,723
1613,716
1587,725
1685,751
1578,747
1635,705
1678,744
1697,791
1603,734
1566,708
1590,709
1572,704
1571,680
1642,760
1623,728
1634,715
1668,767
1688,742
1642,738
1817,864
1650,732
1785,797
1659,742
1593,704
1608,734
1718,768
1728,801
1640,764
1653,734
1675,776
1558,746
1635,729
1639,712
1622,724
1632,704
1626,710
1700,738
1623,725
1618,741
1705,778
1763,773
1578,710
1635,754
1654,742
1555,755
1728,738
1571,741
1603,715
1525,692
1703,752
1682,745
1775,818
1658,755
1586,727
1676,770
1522,701
1636,710
1613,739
1639,738
1718,789
1696,748
1650,768
1696,735
1655,745
1622,714
1640,720
1697,747
1663,780
1603,724
1570,721
1500,709
1648,778
1447,742
1703,814
1538,697
1589,753
1735,782
1644,716
1542,730
1640,719
1675,774
1635,720
1654,739
1564,715
1736,789
1616,725
1590,734
1450,665
1724,758
1644,768
1571,727
1610,691
1523,725
1777,802
1466,708
1673,785
1537,708
1741,756
1700,791
1587,743
1691,754
1707,743
1718,774
1717,768
1612,724
1721,767
1654,765
1633,750
1665,774
1545,716
1619,785
1648,756
1689,767
1532,720
1666,752
1578,678
1830,785
1583,743
1584,728
1661,728
1632,727
1695,759
1762,774
1593,710
1707,755
1620,765
1632,729
1650,763
1670,726
1570,714
1701,772
1593,745
1682,758
1725,814
1611,718
1631,729
1667,737
1730,801
1683,745
1692,747
1676,742
1562,757
1551,744
1623,713
1630,707
1550,707
1546,714
1586,722
1688,753
1563,737
1601,746
1636,716
1706,741
1688,777
1602,742
1664,770
1602,718
1656,763
1646,733
1594,713
1503,692
1695,713
1570,690
1555,688
1515,739
1631,705
1722,780
1588,727
1600,722
1648,773
1654,769
1692,794
1642,754
1601,735
1601,723
1611,733
1667,731
1696,772
1723,795
1655,737
1667,733
1746,782
1605,744
1631,746
1659,754
1592,743
1690,748
1599,711
1602,752
1702,789
1592,704
1740,808
1692,761
1713,759
1617,740
1620,749
1577,738
1616,762
1673,736
1749,807
1701,772
1590,779
1667,780
1573,748
1547,712
1632,753
1734,775
1686,742
1656,769
1666,736
1685,731
1744,809
1588,733
1602,744
1764,800
1713,796
1654,760
1608,705
1662,713
1678,758
1741,786
1721,791
1655,768
1643,731
1528,680
1610,703
1591,747
1674,748
1564,678
1762,828
1702,767
1759,826
1587,727
1517,706
1533,691
1687,807
1736,770
1590,752
1608,715
1685,751
1575,744
1615,732
1546,726
1539,694
1685,764
1572,693
1576,772
1662,777
1487,690
1694,749
1610,757
1701,785
1653,761
1605,740
1530,688
1601,729
1617,713
1635,705
1579,720
1627,755
1585,735
1565,729
1567,705
1683,786
1572,700
1743,798
1674,741
1627,779
1605,756
1658,739
1703,752
1640,771
1592,744
1512,667
1495,697
1678,718
1708,780
1595,711
1677,799
1559,708
1572,743
1627,751
1770,813
1645,753
1703,706
1578,718
1514,665
1677,765
1603,743
1636,761
1644,765
1680,756
1620,714
1579,720
1734,801
1545,686
1665,735
1567,728
1612,746
1513,671
1657,756
1578,730
1657,748
1492,672
1711,765
1565,710
1525,672
1738,752
1718,768
1602,768
1667,783
1560,707
1598,735
1684,774
1557,688
1656,729
1521,690
1507,714
1473,679
1651,752
1685,754
1586,687
1625,773
1763,751
1574,705
1655,792
1585,691
1674,769
1703,777
1656,733
1557,701
1568,727
1592,697
1577,723
1548,676
1751,776
1628,756
1496,675
1595,700
1606,724
1720,777
1696,783
1662,732
1777,789
1520,698
1570,714
1655,705
1610,725
1579,700
1633,735
1605,715
1677,755
1628,769
1564,687
1606,688
1537,728
1593,714
1646,730
1601,716
1603,740
1710,785
1670,751
1628,703
1671,764
1606,737
1578,718
1553,718
1640,763
1653,782
1596,751
1691,780
1654,756
1583,754
1708,787
1629,742
1650,786
1573,725
1583,732
1642,717
1764,765
1530,690
1557,724
1483,712
1682,791
1576,700
1646,780
1772,829
1756,790
1638,743
1595,697
1602,724
1752,782
1671,740
1687,747
1550,716
1697,799
1731,794
1582,728
1657,737
1580,732
1576,669
1713,720
1768,788
1637,731
1708,805
1652,733
1712,754
1567,749
1706,774
1592,697
1763,773
1621,753
1707,787
1689,788
1606,733
1696,759
1598,699
1731,754
1707,754
1667,758
1485,682
1596,718
1626,730
1641,703
1510,692
1748,759
1546,708
1611,733
1642,714
1673,721
1549,713
1707,819
1574,698
1556,704
1489,667
1606,740
1483,697
1585,715
1610,690
1737,776
1564,716
1495,702
1570,693
1756,780
1782,739
1498,676
1682,790
1664,709
1596,733
1576,719
1581,747
1613,727
1632,693
1703,770
1613,732
1599,752
1588,735
1623,730
1600,713
1600,704
1635,692
1787,778
1610,755
1534,694
1793,764
1515,685
1640,763
1630,741
1522,654
1575,753
1613,742
1543,714
1617,768
1623,700
1607,732
1537,719
1545,731
1743,753
1612,721
1706,720
1635,759
1563,689
1569,720
1552,671
1598,743
1528,702
1654,775
1645,708
1578,701
1658,729
1538,712
1564,724
1624,762
1740,814
1575,715
1610,720
1642,785
1705,771
1561,733
1627,727
1682,765
1770,779
1685,751
1670,760
1560,722
1603,731
1612,749
1603,790
1672,777
1673,735
1746,732
1570,719
1668,769
1672,758
1623,744
1573,734
1580,728
1656,753
1606,692
1637,715
1566,668
1685,764
1492,656
1660,746
1633,728
1593,714
1538,688
1706,766
1655,750
1733,823
1629,730
1628,744
1787,804
1628,741
1654,779
1712,788
1695,785
1605,752
1590,722
1692,724
1610,735
1674,722
1559,710
1713,783
1641,748
1623,717
1636,720
1628,729
1553,685
1563,711
1658,750
1560,727
1738,781
1590,713
1600,720
1683,755
1625,708
1623,734
1580,725
1726,787
1593,727
1578,691
1717,786
1618,727
1676,732
1596,711
1684,777
1511,709
1605,748
1578,748
1719,760
1660,772
1624,728
1586,724
1572,725
1683,763
1763,818
1575,698
1713,796
1602,726
1772,801
1616,709
1510,692
1671,747
1570,721
1667,771
1674,753
1494,666
1695,785
1552,716
1699,773
1562,743
1749,808
1664,767
1585,732
1558,673
1674,724
1549,689
1670,787
1609,747
1683,782
1655,779
1599,746
1621,722
1701,788
1590,712
1638,766
1596,745
1643,752
1678,738
1593,711
1677,780
1545,738
1582,688
1525,730
1672,769
1590,756
1620,710
1711,795
1712,784
1592,724
1734,799
1681,766
1660,730
1730,760
1593,759
1652,705
1585,740
1575,731
1653,732
1624,744
1689,741
1475,684
1598,757
1636,713
1555,726
1595,757
1648,700
1648,784
1646,754
1554,706
1676,751
1682,776
1692,770
1618,768
1647,761
1550,692
1464,680
1684,772
1726,731
1648,780
1734,785
1675,725
1537,696
1662,796
1619,738
1601,683
1654,777
1685,764
1767,779
1714,791
1603,720
1676,778
1565,693
1623,768
1583,734
1618,748
1686,735
1695,783
1636,750
1632,727
1662,701
1648,745
1585,710
1717,777
1653,770
1568,740
1678,741
1596,769
1526,707
1507,688
1686,750
1648,782
1633,740
1681,758
1624,704
1732,790
1692,783
1607,744
1616,676
1600,778
1622,749
1557,684
1479,651
1669,719
1622,726
1691,741
1572,686
1611,730
1548,702
1673,764
1686,758
1648,694
1590,707
1634,778
1669,738
1675,750
1607,746
1645,734
1662,742
1656,774
1620,755
1692,729
1627,756
1682,764
1604,765
1741,751
1703,731
1572,737
1529,653
1578,725
1686,736
1678,759
1678,766
1559,727
1618,691
1639,760
1649,706
1662,789
1666,749
1698,732
1707,762
1562,722
1551,728
1652,772
1644,745
1565,672
1684,716
1591,711
1686,798
1732,755
1600,738
1605,695
1607,723
1679,750
1602,753
1658,753
1620,739
1792,803
1565,728
1606,729
1586,759
1618,719
1870,854
1624,716
1684,728
1610,719
1569,736
1667,763
1512,703
1569,697
1600,677
1609,754
1577,695
1612,692
1538,698
1645,732
1660,731
1589,724
1643,759
1620,787
1611,734
1736,795
1679,754
1608,739
1661,788
1559,703
1540,672
1574,725
1595,720
1654,757
1650,752
1644,776
1599,744
1640,721
1638,766
1586,723
1655,726
1646,768
1668,740
1632,712
1714,739
1605,698
1644,729
1582,737
1612,718
1778,751
1717,754
1565,726
1609,717
1651,740
1618,759
1752,757
1606,702
1610,736
1702,788
1712,741
1706,717
1570,703
1604,706
1650,794
1643,730
1613,703
1661,713
1607,740
1561,737
1606,745
1480,672
1648,729
